word,wlen,firsttime,totaltime,word,surprisal
zal ,4,119.1,140.9,zal,17.567629341173124
het ,4,157.8,173.7,het,17.567629341173124
erg ,4,114.9,141.5,erg,17.567629341173124
leuk ,5,124.5,124.5,leuk,17.567629341173124
vinden ,7,89.0,89.0,vinden,17.567629341173124
je ,3,44.8,44.8,je,17.567629341173124
weer ,5,189.5,255.6,weer,17.567629341173124
eens ,5,92.8,138.3,eens,17.567629341173124
te ,3,34.2,34.2,te,17.567629341173124
al ,3,143.6,143.6,al,17.567629341173124
die ,4,139.6,153.1,die,17.567629341173124
"jaren, ",7,129.7,181.1,jaren,17.567629341173124
voegde ,7,185.5,226.5,voegde,17.567629341173124
hij ,4,75.3,112.9,hij,17.567629341173124
eraan ,6,142.5,197.3,eraan,17.567629341173124
toe. ,5,93.8,93.8,toe,17.567629341173124
Is ,3,46.2,46.2,is,25.26048615415301
het ,4,163.9,218.8,het,17.567629341173124
goed ,5,231.7,297.5,goed,17.567629341173124
met ,4,171.1,171.1,met,17.567629341173124
je ,3,100.1,100.1,je,17.567629341173124
moeder? ,8,130.2,174.0,moeder,17.567629341173124
"Och, ",5,293.0,356.4,och,25.26048615415301
jawel. ,7,198.0,338.7,jawel,17.567629341173124
Je ,3,199.4,203.7,je,25.26048615415301
weet ,5,181.6,249.9,weet,17.567629341173124
dat ,4,155.6,304.5,dat,17.567629341173124
ze ,3,104.4,123.8,ze,17.567629341173124
hertrouwd ,10,245.9,677.5,hertrouwd,17.567629341173124
is? ,4,92.5,132.5,is,17.567629341173124
Ik ,3,44.4,44.4,ik,25.26048615415301
vrees ,6,235.6,327.0,vrees,17.567629341173124
dat ,4,54.0,86.9,dat,17.567629341173124
ik ,3,34.7,34.7,ik,17.567629341173124
mijn ,5,186.7,305.3,mijn,17.567629341173124
verbazing ,10,234.8,266.4,verbazing,17.567629341173124
nogal ,6,173.8,252.2,nogal,17.567629341173124
duidelijk ,10,177.7,262.6,duidelijk,17.567629341173124
liet ,5,111.6,138.1,liet,17.567629341173124
blijken. ,9,192.9,310.1,blijken,17.567629341173124
Mevrouw ,8,191.1,330.8,mevrouw,25.26048615415301
"Cavendish, ",11,171.1,441.8,cavendish,17.567629341173124
die ,4,102.9,129.7,die,17.567629341173124
met ,4,159.9,242.1,met,17.567629341173124
Johns ,6,141.7,264.3,johns,17.567629341173124
vader ,6,209.5,404.0,vader,17.567629341173124
trouwde ,8,194.8,352.1,trouwde,17.567629341173124
toen ,5,216.9,299.3,toen,17.567629341173124
deze ,5,171.1,420.8,deze,17.567629341173124
weduwnaar ,10,175.9,466.9,weduwnaar,17.567629341173124
was ,4,104.0,135.1,was,17.567629341173124
en ,3,97.4,97.4,en,17.567629341173124
twee ,5,203.9,284.8,twee,17.567629341173124
zoons ,6,137.3,193.0,zoons,17.567629341173124
"had, ",5,155.3,229.8,had,17.567629341173124
was ,4,53.8,70.5,was,17.567629341173124
in ,3,122.2,145.9,in,17.567629341173124
mijn ,5,141.8,181.5,mijn,17.567629341173124
herinnering ,12,202.6,283.7,herinnering,17.567629341173124
een ,4,76.2,76.2,een,17.567629341173124
knappe ,7,169.3,275.5,knappe,17.567629341173124
vrouw ,6,135.2,195.1,vrouw,17.567629341173124
van ,4,76.9,76.9,van,17.567629341173124
middelbare ,11,194.4,302.5,middelbare,17.567629341173124
leeftijd. ,10,234.1,362.1,leeftijd,17.567629341173124
Ze ,3,198.2,254.9,ze,25.26048615415301
moest ,6,104.5,104.5,moest,17.567629341173124
nu ,3,105.8,137.8,nu,17.567629341173124
op ,3,53.5,53.5,op,17.567629341173124
minst ,6,152.8,180.6,minst,17.567629341173124
zeventig ,9,182.4,381.7,zeventig,17.567629341173124
zijn. ,6,139.6,139.6,zijn,17.567629341173124
Ik ,3,37.5,37.5,ik,25.26048615415301
herinnerde ,11,192.1,264.4,herinnerde,17.567629341173124
me ,3,65.8,84.7,me,17.567629341173124
haar ,5,149.6,149.6,haar,17.567629341173124
als ,4,105.5,122.8,als,17.567629341173124
een ,4,107.6,127.0,een,17.567629341173124
"energieke, ",11,179.9,215.8,energieke,17.567629341173124
dominerende ,12,190.4,400.7,dominerende,17.567629341173124
"persoonlijkheid, ",17,227.3,324.5,persoonlijkheid,17.567629341173124
die ,4,99.3,99.3,die,17.567629341173124
zich ,5,200.6,209.5,zich,17.567629341173124
ook ,4,91.8,91.8,ook,17.567629341173124
op ,3,178.8,185.3,op,17.567629341173124
liefdadig ,10,252.1,389.9,liefdadig,17.567629341173124
en ,3,32.5,32.5,en,17.567629341173124
maatschappelijk ,16,269.4,495.1,maatschappelijk,17.567629341173124
terrein ,8,170.0,202.6,terrein,17.567629341173124
nogal ,6,167.9,293.1,nogal,17.567629341173124
liet ,5,149.9,227.7,liet,17.567629341173124
"gelden, ",8,227.0,416.8,gelden,17.567629341173124
graag ,6,204.0,339.1,graag,17.567629341173124
bazaars ,8,260.1,721.6,bazaars,17.567629341173124
opende ,7,211.4,385.2,opende,17.567629341173124
en ,3,66.3,66.3,en,17.567629341173124
voor ,5,109.5,109.5,voor,17.567629341173124
weldoenster ,12,256.6,486.9,weldoenster,17.567629341173124
speelde. ,9,221.5,291.7,speelde,17.567629341173124
Ze ,3,20.9,53.3,ze,25.26048615415301
was ,4,192.1,250.1,was,17.567629341173124
erg ,4,69.5,89.0,erg,17.567629341173124
vrijgevig ,10,213.6,387.9,vrijgevig,17.567629341173124
en ,3,54.0,54.0,en,17.567629341173124
bezat ,6,212.9,229.5,bezat,17.567629341173124
een ,4,57.9,57.9,een,17.567629341173124
aanzienlijk ,12,177.9,453.5,aanzienlijk,17.567629341173124
eigen ,6,177.8,389.4,eigen,17.567629341173124
vermogen. ,10,155.2,361.1,vermogen,17.567629341173124
Cavendish ,10,215.2,495.6,cavendish,25.26048615415301
had ,4,93.1,126.3,had,17.567629341173124
in ,3,183.5,183.5,in,17.567629341173124
het ,4,170.9,198.4,het,17.567629341173124
begin ,6,183.7,248.6,begin,17.567629341173124
van ,4,74.5,111.6,van,17.567629341173124
hun ,4,164.7,270.2,hun,17.60863023428287
trouwen ,8,179.1,442.8,trouwen,17.5705969346105
een ,4,49.5,49.5,een,17.567629341173124
"buitenhuis, ",12,234.6,502.9,buitenhuis,17.567629341173124
Styles ,7,269.8,443.9,styles,17.567629341173124
"Court, ",7,238.5,508.7,court,17.567629341173124
gekocht. ,9,331.8,384.6,gekocht,17.567629341173124
Hij ,4,189.1,246.6,hij,25.26048615415301
stond ,6,206.0,365.7,stond,17.567629341173124
zo ,3,119.1,176.1,zo,17.567629341173124
geheel ,7,206.0,439.3,geheel,17.567629341173124
en ,3,81.3,111.6,en,17.567629341173124
al ,3,218.1,329.8,al,17.567629341173124
onder ,6,143.3,291.1,onder,17.567629341173124
de ,3,93.8,105.0,de,17.567629341173124
invloed ,8,119.5,165.2,invloed,17.567629341173124
van ,4,139.2,152.8,van,17.567629341173124
zijn ,5,167.1,243.4,zijn,17.567629341173124
"vrouw, ",7,40.0,40.0,vrouw,17.567629341173124
dat ,4,72.3,92.3,dat,17.567629341173124
hij ,4,75.7,92.2,hij,17.567629341173124
haar ,5,153.5,334.5,haar,17.5705969346105
bij ,4,181.8,255.1,bij,17.567629341173124
zijn ,5,80.8,124.5,zijn,17.567629341173124
dood ,5,169.0,279.3,dood,17.567629341173124
het ,4,123.2,274.2,het,17.567629341173124
huis ,5,149.0,202.7,huis,17.567629341173124
naliet ,7,188.3,286.1,naliet,17.567629341173124
voor ,5,191.7,202.6,voor,17.567629341173124
de ,3,160.0,160.0,de,17.567629341173124
duur ,5,173.9,224.8,duur,17.567629341173124
van ,4,102.8,190.6,van,17.567629341173124
haar ,5,198.7,323.6,haar,17.582406639691296
"leven, ",7,122.2,135.5,leven,17.567629341173124
evenals ,8,201.7,320.2,evenals,17.567629341173124
het ,4,102.2,102.2,het,17.567629341173124
grootste ,9,193.3,223.6,grootste,17.567629341173124
deel ,5,138.0,145.7,deel,17.567629341173124
van ,4,83.1,92.7,van,17.567629341173124
zijn ,5,159.2,159.2,zijn,6.396431819362313
"kapitaal, ",10,197.9,328.1,kapitaal,17.585344022444577
een ,4,87.6,87.6,een,17.567629341173124
schikking ,10,256.5,412.4,schikking,17.567629341173124
die ,4,85.8,101.5,die,17.567629341173124
uitgesproken ,13,269.6,649.0,uitgesproken,17.567629341173124
oneerlijk ,10,208.3,450.4,oneerlijk,17.567629341173124
was ,4,53.7,53.7,was,17.567629341173124
ten ,4,131.8,184.1,ten,17.567629341173124
opzichte ,9,163.4,177.0,opzichte,17.567629341173124
van ,4,100.7,100.7,van,17.567629341173124
zijn ,5,37.2,37.2,zijn,17.5705969346105
twee ,5,221.4,221.4,twee,17.567629341173124
zoons. ,7,152.8,349.6,zoons,17.567629341173124
Maar ,5,235.4,267.7,maar,25.26048615415301
hun ,4,147.3,147.3,hun,17.567629341173124
stiefmoeder ,12,238.7,436.4,stiefmoeder,17.567629341173124
had ,4,119.5,119.5,had,17.567629341173124
er ,3,128.3,142.1,er,17.567629341173124
echt ,5,178.5,250.1,echt,17.567629341173124
wel ,4,193.6,258.2,wel,17.567629341173124
voor ,5,140.1,140.1,voor,17.567629341173124
gezorgd ,8,146.8,179.3,gezorgd,17.567629341173124
dat ,4,32.2,32.2,dat,17.567629341173124
ze ,3,104.4,104.4,ze,17.567629341173124
niets ,6,205.4,309.9,niets,17.567629341173124
tekort ,7,71.9,120.6,tekort,17.567629341173124
kwamen; ,8,180.5,236.2,kwamen,17.5705969346105
zij ,4,97.5,97.5,zij,17.567629341173124
waren ,6,198.7,228.9,waren,17.567629341173124
trouwens ,9,211.1,311.3,trouwens,17.567629341173124
nog ,4,144.7,170.1,nog,17.567629341173124
zo ,3,175.0,220.3,zo,17.567629341173124
jong ,5,132.0,157.1,jong,17.567629341173124
toen ,5,128.2,136.1,toen,17.567629341173124
hun ,4,134.3,204.1,hun,17.567629341173124
vader ,6,137.8,214.5,vader,17.567629341173124
"hertrouwde, ",12,250.3,391.1,hertrouwde,17.567629341173124
dat ,4,111.2,111.2,dat,17.567629341173124
zij ,4,164.3,226.6,zij,17.567629341173124
haar ,5,90.8,119.6,haar,17.567629341173124
als ,4,132.4,132.4,als,17.567629341173124
hun ,4,149.7,208.1,hun,17.567629341173124
eigen ,6,131.1,252.9,eigen,17.567629341173124
moeder ,7,107.3,107.3,moeder,17.567629341173124
beschouwden. ,13,197.0,308.8,beschouwden,17.567629341173124
"Lawrence, ",10,273.2,439.3,lawrence,25.26048615415301
de ,3,17.8,17.8,de,17.567629341173124
"jongste, ",9,205.9,366.3,jongste,17.567629341173124
had ,4,118.9,203.3,had,17.567629341173124
als ,4,144.7,232.5,als,17.567629341173124
kind ,5,217.8,235.9,kind,17.567629341173124
nogal ,6,198.8,258.4,nogal,17.567629341173124
met ,4,49.7,70.9,met,17.567629341173124
zijn ,5,146.7,225.0,zijn,17.567629341173124
gezondheid ,11,169.5,303.7,gezondheid,17.567629341173124
gesukkeld. ,11,245.7,358.6,gesukkeld,17.567629341173124
Hij ,4,61.0,128.4,hij,25.26048615415301
was ,4,165.6,220.4,was,17.567629341173124
arts ,5,217.0,291.9,arts,17.567629341173124
"geworden, ",10,190.7,240.3,geworden,17.567629341173124
maar ,5,152.3,168.6,maar,17.567629341173124
had ,4,132.0,256.6,had,17.567629341173124
al ,3,160.8,215.6,al,17.567629341173124
spoedig ,8,172.4,482.0,spoedig,17.567629341173124
het ,4,89.3,132.3,het,17.567629341173124
eraan ,6,236.2,492.1,eraan,17.567629341173124
gegeven. ,9,162.7,394.5,gegeven,17.567629341173124
Hij ,4,196.0,224.7,hij,25.26048615415301
woonde ,7,169.6,212.1,woonde,17.567629341173124
nu ,3,80.7,99.6,nu,17.567629341173124
thuis ,6,178.2,260.8,thuis,17.567629341173124
en ,3,68.6,75.9,en,17.567629341173124
had ,4,147.9,204.7,had,17.567629341173124
letterkundige ,14,176.4,574.2,letterkundige,17.567629341173124
