word,wlen,firsttime,totaltime,word,sent_id,sent_pos,word_length,surprisal,entropy,entry,probability
the ,4,53.77777777777778,108.55555555555556,the,5,5,3,5.629249755196185,-2.3024973023175828,10.40604556648328,0.0035912686475227835
sensational ,12,269.3333333333333,802.7777777777778,sensational,6,6,11,17.42614110113652,-2.3024973023175828,8.130496259565017,2.703479488558222e-08
rumours ,8,260.1111111111111,274.22222222222223,rumours,7,7,7,11.36803510901917,-2.3024973023175828,11.246305133577978,1.155912824357395e-05
which ,6,168.77777777777777,253.55555555555554,which,8,8,5,11.404515861119485,-2.3024973023175828,11.05745554367876,1.114504157100506e-05
still ,6,206.22222222222223,303.22222222222223,still,9,9,5,6.724049411149494,-2.3024973023175828,5.61258517214048,0.0012016623235673969
persist. ,9,244.11111111111111,410.1111111111111,persist,10,10,7,13.342205943599941,-2.3024973023175828,6.8858751527760935,1.6052903029916648e-06
I ,2,33.77777777777778,33.77777777777778,i,0,0,1,-1.0618397718538803,-1.9476491299328607,562.2480449059623,2.8916861412081296
will ,5,243.55555555555554,268.3333333333333,will,1,1,4,4.217307274698798,-1.9476491299328607,5.303104018226801,0.014738277252957906
therefore ,10,229.66666666666666,342.8888888888889,therefore,2,2,9,7.917117325055984,-1.9476491299328607,4.861267675382431,0.0003644514086311532
briefly ,8,167.11111111111111,323.3333333333333,briefly,3,3,7,11.728131310171243,-1.9476491299328607,9.774734870837815,8.06375434578761e-06
set ,4,216.66666666666666,216.66666666666666,set,4,4,3,11.458743792706244,-1.9476491299328607,10.79423378448587,1.0556763718514452e-05
down ,5,136.66666666666666,140.11111111111111,down,5,5,4,12.912728880816433,-1.9476491299328607,5.427508275369976,2.4664544576231413e-06
the ,4,112.88888888888889,112.88888888888889,the,6,6,3,2.1618972225344737,-1.9476491299328607,5.398513758168062,0.11510653104213826
circumstances ,14,269.77777777777777,433.6666666666667,circumstances,7,7,13,8.412389291685562,-1.9476491299328607,8.130496259565017,0.00022209856421216812
which ,6,193.88888888888889,254.22222222222223,which,8,8,5,11.736733938032112,-1.9476491299328607,9.213200825011185,7.994682394110431e-06
led ,4,130.11111111111111,189.33333333333334,led,9,9,3,5.694789857224183,-1.9476491299328607,5.61258517214048,0.003363443908301261
to ,3,139.77777777777777,190.66666666666666,to,10,10,2,1.4871116369237614,-1.9476491299328607,6.379906574975279,0.2260245546034724
my ,3,111.11111111111111,139.66666666666666,my,11,11,2,6.420610036977625,-1.9476491299328607,6.567673216488289,0.0016276629972478353
being ,6,125.11111111111111,313.6666666666667,being,12,12,5,7.839181310976585,-1.9476491299328607,7.050128465477909,0.0003939914651422062
connected ,10,290.55555555555554,527.3333333333334,connected,13,13,9,7.021572803103476,-1.9476491299328607,6.832564750755331,0.0008924207862927591
with ,5,190.66666666666666,203.55555555555554,with,14,14,4,3.27449593330337,-1.9476491299328607,9.62006841251194,0.037835936258797956
the ,4,50.666666666666664,50.666666666666664,the,6,15,3,1.7246838425682571,-1.9476491299328607,5.960829467598924,0.1782293914129814
affair. ,8,141.11111111111111,543.1111111111111,affair,16,16,6,10.161011123101376,-1.9476491299328607,8.130496259565017,3.864817034571732e-05
I ,2,93.44444444444444,119.11111111111111,i,0,0,1,-1.0618397718538803,-1.5535152688880847,562.2480449059623,2.8916861412081296
had ,4,217.22222222222223,392.22222222222223,had,1,1,3,3.493406465306627,-1.5535152688880847,5.303104018226801,0.030397148773722456
been ,5,166.66666666666666,385.1111111111111,been,2,2,4,2.1911096955602005,-1.5535152688880847,5.623510590329287,0.11179262398129239
invalided ,10,232.22222222222223,868.5555555555555,invalided,3,3,9,14.497386022168495,-1.5535152688880847,6.825798724193427,5.056677407531069e-07
home ,5,203.11111111111111,364.3333333333333,home,4,4,4,11.347177799297308,-1.5535152688880847,11.347177799289733,1.1802752401860113e-05
from ,5,184.55555555555554,309.1111111111111,from,5,5,4,4.533122079099203,-1.5535152688880847,5.5273340878014485,0.01074707043632586
the ,4,190.22222222222223,256.22222222222223,the,6,6,3,1.389223129290745,-1.5535152688880847,5.918252517048124,0.2492688791216753
Front; ,7,198.55555555555554,248.33333333333334,front,7,7,5,7.0261862279670195,-1.5535152688880847,8.130496259565017,0.0008883131524640156
"and, ",5,154.44444444444446,248.44444444444446,and,8,8,3,3.5001038934720925,-1.5535152688880847,6.963010294558052,0.030194246274274077
after ,6,260.0,417.55555555555554,after,9,9,5,7.009170701750993,-1.5535152688880847,7.898216133854422,0.0009035575965102906
spending ,9,181.0,250.22222222222223,spending,10,10,8,6.328729194988071,-1.5535152688880847,5.680957611480176,0.001784299826100025
some ,5,158.44444444444446,158.44444444444446,some,11,11,4,6.054532976422842,-1.5535152688880847,8.691943591041678,0.0023471980615720513
months ,7,174.44444444444446,268.3333333333333,months,12,12,6,7.944611255986922,-1.5535152688880847,6.514881892301837,0.0003545677003675228
in ,3,109.33333333333333,109.33333333333333,in,13,13,2,3.3791958056004883,-1.5535152688880847,5.888053458706797,0.03407484651969836
a ,2,47.22222222222222,47.22222222222222,a,14,14,1,2.6670180339931866,-1.5535152688880847,5.691515004729287,0.06945904129698434
rather ,7,231.11111111111111,326.22222222222223,rather,15,15,6,8.71229503402808,-1.5535152688880847,7.842737769283253,0.0001645501725384739
depressing ,11,203.33333333333334,554.5555555555555,depressing,16,16,10,12.085181033252088,-1.5535152688880847,7.302158596117693,5.642512949567219e-06
Convalescent ,13,261.6666666666667,848.3333333333334,convalescent,17,17,12,11.376257730592295,-1.5535152688880847,11.207231334835718,1.146447160250384e-05
"Home, ",6,162.0,171.11111111111111,home,4,18,4,11.372154871220115,-1.5535152688880847,11.193893413809567,1.1511605342700491e-05
was ,4,97.66666666666667,129.22222222222223,was,19,19,3,5.226129289052747,-1.5535152688880847,5.5273340878014485,0.005374287407786925
given ,6,309.8888888888889,407.22222222222223,given,20,20,5,5.6338724778730365,-1.5535152688880847,6.511084889382033,0.0035747055213722
a ,2,84.11111111111111,103.22222222222223,a,14,21,1,2.265684095421963,-1.5535152688880847,6.4888112320902485,0.10375902917949574
month's ,8,263.1111111111111,481.44444444444446,months,12,22,6,9.964058901631066,-1.5535152688880847,7.842737769283253,4.7061330547788816e-05
sick ,5,278.1111111111111,425.77777777777777,sick,23,23,4,12.812759725691052,-1.5535152688880847,5.888053458706797,2.7257696600030682e-06
leave. ,7,207.0,318.1111111111111,leave,24,24,5,4.843865025433112,-1.5535152688880847,8.890710372544374,0.007876552070021258
Having ,7,244.33333333333334,293.22222222222223,having,0,0,6,2.1731013731651525,1.3277705334536807,562.2480449059623,0.11382405805605296
no ,3,69.0,69.0,no,1,1,2,5.351434169711749,1.3277705334536807,6.963532747519064,0.004741346225827757
near ,5,187.88888888888889,260.6666666666667,near,2,2,4,13.760538625979349,1.3277705334536807,6.531063917932671,1.05651096009377e-06
relations ,10,184.55555555555554,501.22222222222223,relations,3,3,9,12.355466314415036,1.3277705334536807,7.554105041385208,4.306150043492116e-06
or ,3,49.77777777777778,49.77777777777778,or,4,4,2,11.689973617969843,1.3277705334536807,9.525225443485533,8.377394438846217e-06
