word,wlen,firsttime,totaltime
vrouw ,6,135.2,195.1
van ,4,76.9,76.9
middelbare ,11,194.4,302.5
leeftijd. ,10,234.1,362.1
Ze ,3,198.2,254.9
moest ,6,104.5,104.5
nu ,3,105.8,137.8
op ,3,53.5,53.5
minst ,6,152.8,180.6
zeventig ,9,182.4,381.7
zijn. ,6,139.6,139.6
Ik ,3,37.5,37.5
herinnerde ,11,192.1,264.4
me ,3,65.8,84.7
haar ,5,149.6,149.6
als ,4,105.5,122.8
een ,4,107.6,127.0
"energieke, ",11,179.9,215.8
dominerende ,12,190.4,400.7
"persoonlijkheid, ",17,227.3,324.5
die ,4,99.3,99.3
zich ,5,200.6,209.5
ook ,4,91.8,91.8
op ,3,178.8,185.3
liefdadig ,10,252.1,389.9
en ,3,32.5,32.5
maatschappelijk ,16,269.4,495.1
terrein ,8,170.0,202.6
nogal ,6,167.9,293.1
liet ,5,149.9,227.7
"gelden, ",8,227.0,416.8
graag ,6,204.0,339.1
bazaars ,8,260.1,721.6
opende ,7,211.4,385.2
en ,3,66.3,66.3
voor ,5,109.5,109.5
weldoenster ,12,256.6,486.9
speelde. ,9,221.5,291.7
Ze ,3,20.9,53.3
was ,4,192.1,250.1
erg ,4,69.5,89.0
vrijgevig ,10,213.6,387.9
en ,3,54.0,54.0
bezat ,6,212.9,229.5
een ,4,57.9,57.9
aanzienlijk ,12,177.9,453.5
eigen ,6,177.8,389.4
vermogen. ,10,155.2,361.1
Cavendish ,10,215.2,495.6
had ,4,93.1,126.3
in ,3,183.5,183.5
het ,4,170.9,198.4
begin ,6,183.7,248.6
van ,4,74.5,111.6
hun ,4,164.7,270.2
trouwen ,8,179.1,442.8
een ,4,49.5,49.5
"buitenhuis, ",12,234.6,502.9
Styles ,7,269.8,443.9
"Court, ",7,238.5,508.7
gekocht. ,9,331.8,384.6
Hij ,4,189.1,246.6
stond ,6,206.0,365.7
zo ,3,119.1,176.1
geheel ,7,206.0,439.3
en ,3,81.3,111.6
al ,3,218.1,329.8
onder ,6,143.3,291.1
de ,3,93.8,105.0
invloed ,8,119.5,165.2
van ,4,139.2,152.8
zijn ,5,167.1,243.4
"vrouw, ",7,40.0,40.0
dat ,4,72.3,92.3
hij ,4,75.7,92.2
haar ,5,153.5,334.5
bij ,4,181.8,255.1
zijn ,5,80.8,124.5
dood ,5,169.0,279.3
het ,4,123.2,274.2
huis ,5,149.0,202.7
naliet ,7,188.3,286.1
voor ,5,191.7,202.6
de ,3,160.0,160.0
duur ,5,173.9,224.8
van ,4,102.8,190.6
haar ,5,198.7,323.6
"leven, ",7,122.2,135.5
evenals ,8,201.7,320.2
het ,4,102.2,102.2
grootste ,9,193.3,223.6
deel ,5,138.0,145.7
van ,4,83.1,92.7
zijn ,5,159.2,159.2
"kapitaal, ",10,197.9,328.1
een ,4,87.6,87.6
schikking ,10,256.5,412.4
die ,4,85.8,101.5
uitgesproken ,13,269.6,649.0
oneerlijk ,10,208.3,450.4
was ,4,53.7,53.7
ten ,4,131.8,184.1
opzichte ,9,163.4,177.0
van ,4,100.7,100.7
zijn ,5,37.2,37.2
twee ,5,221.4,221.4
zoons. ,7,152.8,349.6
Maar ,5,235.4,267.7
hun ,4,147.3,147.3
stiefmoeder ,12,238.7,436.4
had ,4,119.5,119.5
er ,3,128.3,142.1
echt ,5,178.5,250.1
wel ,4,193.6,258.2
voor ,5,140.1,140.1
gezorgd ,8,146.8,179.3
dat ,4,32.2,32.2
ze ,3,104.4,104.4
niets ,6,205.4,309.9
tekort ,7,71.9,120.6
kwamen; ,8,180.5,236.2
zij ,4,97.5,97.5
waren ,6,198.7,228.9
trouwens ,9,211.1,311.3
nog ,4,144.7,170.1
zo ,3,175.0,220.3
jong ,5,132.0,157.1
toen ,5,128.2,136.1
hun ,4,134.3,204.1
vader ,6,137.8,214.5
"hertrouwde, ",12,250.3,391.1
dat ,4,111.2,111.2
zij ,4,164.3,226.6
haar ,5,90.8,119.6
als ,4,132.4,132.4
hun ,4,149.7,208.1
eigen ,6,131.1,252.9
moeder ,7,107.3,107.3
beschouwden. ,13,197.0,308.8
"Lawrence, ",10,273.2,439.3
de ,3,17.8,17.8
"jongste, ",9,205.9,366.3
had ,4,118.9,203.3
als ,4,144.7,232.5
kind ,5,217.8,235.9
nogal ,6,198.8,258.4
met ,4,49.7,70.9
zijn ,5,146.7,225.0
gezondheid ,11,169.5,303.7
gesukkeld. ,11,245.7,358.6
Hij ,4,61.0,128.4
was ,4,165.6,220.4
arts ,5,217.0,291.9
"geworden, ",10,190.7,240.3
maar ,5,152.3,168.6
had ,4,132.0,256.6
al ,3,160.8,215.6
spoedig ,8,172.4,482.0
het ,4,89.3,132.3
eraan ,6,236.2,492.1
gegeven. ,9,162.7,394.5
Hij ,4,196.0,224.7
woonde ,7,169.6,212.1
nu ,3,80.7,99.6
thuis ,6,178.2,260.8
en ,3,68.6,75.9
had ,4,147.9,204.7
letterkundige ,14,176.4,574.2
aspiraties; ,12,249.2,594.2
zijn ,5,98.9,125.5
gedichten ,10,168.5,212.8
hadden ,7,173.7,261.0
echter ,7,197.2,281.4
nooit ,6,128.6,245.9
enig ,5,180.9,241.3
noemenswaardig ,15,228.8,625.8
succes. ,8,235.0,268.7
John ,5,149.0,149.0
was ,4,158.3,215.1
enige ,6,134.0,248.4
tijd ,5,169.3,273.5
advocaat ,9,220.3,314.6
"geweest, ",9,131.9,169.4
maar ,5,160.3,271.1
hij ,4,71.1,87.2
had ,4,111.8,157.1
uiteindelijk ,13,170.2,277.6
gekozen ,8,213.2,274.7
voor ,5,46.9,92.5
het ,4,119.8,150.9
leven ,6,142.5,207.6
van ,4,33.9,50.5
landjonker. ,12,272.8,1027.8
Twee ,5,153.3,234.5
jaar ,5,133.8,162.2
geleden ,8,167.6,232.2
was ,4,136.5,136.5
hij ,4,68.5,103.9
getrouwd ,9,150.7,324.2
en ,3,58.0,74.1
met ,4,162.4,292.2
zijn ,5,138.8,172.5
vrouw ,6,149.3,212.0
op ,3,59.3,83.0
Styles ,7,193.8,312.5
komen ,6,145.6,226.0
"wonen, ",7,240.5,299.5
hoewel ,7,186.3,287.7
ik ,3,93.2,124.9
een ,4,175.4,260.6
stil ,5,196.4,245.9
vermoeden ,10,168.9,236.5
had ,4,75.0,75.0
dat ,4,126.8,162.5
hij ,4,96.3,175.5
liever ,7,117.2,163.4
een ,4,44.9,44.9
grotere ,8,157.7,291.9
toelage ,8,207.6,319.7
van ,4,71.6,71.6
zijn ,5,129.1,204.8
moeder ,7,122.0,153.9
zou ,4,84.3,98.5
hebben ,7,154.2,209.2
"gehad, ",7,165.7,242.1
die ,4,111.7,137.1
hem ,4,56.7,56.7
in ,3,60.0,87.9
staat ,6,158.0,239.5
zou ,4,68.8,68.8
stellen ,8,219.0,308.4
op ,3,11.1,11.1
zichzelf ,9,217.7,450.9
te ,3,163.5,200.5
wonen. ,7,61.5,89.7
Maar ,5,151.1,177.9
mevrouw ,8,174.2,213.4
Cavendish ,10,173.0,292.8
was ,4,67.4,67.4
iemand ,7,196.3,235.4
die ,4,63.5,63.5
graag ,6,203.5,203.5
haar ,5,137.8,137.8
eigen ,6,194.4,194.4
zin ,4,58.0,58.0
deed ,5,171.6,190.0
en ,3,38.1,65.1
van ,4,158.9,218.7
andere ,7,132.4,132.4
mensen ,7,202.2,261.4
verlangde ,10,151.7,284.5
dat ,4,67.6,91.9
ze ,3,79.5,79.5
zich ,5,173.4,216.0
ernaar ,7,223.7,291.8
"schikten, ",10,182.9,251.6
en ,3,107.7,107.7
in ,3,106.1,148.9
dit ,4,142.9,246.8
geval ,6,194.4,216.3
hield ,6,171.8,208.8
ze ,3,102.8,102.8
zeker ,6,179.0,288.3
de ,3,19.1,19.1
touwtjes ,9,187.1,285.8
in ,3,11.9,26.6
"handen, ",8,123.4,214.0
namelijk: ,10,236.6,383.4
de ,3,31.9,31.9
koorden ,8,217.9,357.2
van ,4,83.8,126.0
de ,3,156.3,156.3
beurs. ,7,233.8,360.9
John ,5,189.0,214.7
zag ,4,154.6,171.7
mijn ,5,160.9,301.3
verbazing ,10,198.8,262.4
over ,5,155.4,188.8
het ,4,119.0,174.3
nieuws ,7,133.1,296.8
van ,4,109.1,118.7
zijn ,5,107.9,135.4
moeders ,8,163.1,253.6
huwelijk ,9,194.9,307.1
en ,3,0.0,0.0
glimlachte ,11,208.0,446.4
nogal ,6,135.1,193.3
wrang. ,7,212.2,312.5
En ,3,71.1,107.2
nog ,4,187.2,241.5
een ,4,98.1,156.5
misselijke ,11,162.0,372.8
vent ,5,161.3,225.5
ook! ,5,166.6,229.5
zei ,4,87.2,87.2
hij ,4,107.1,132.3
grimmig. ,9,164.9,339.2
Je ,3,73.1,101.4
mag ,4,223.9,257.0
best ,5,193.8,310.4
"weten, ",7,207.4,248.1
"Hastings, ",10,296.3,644.8
dat ,4,118.3,170.3
het ,4,198.6,354.0
ons ,4,162.6,191.3
leven ,6,153.3,270.8
behoorlijk ,11,196.9,501.1
verpest. ,9,194.6,338.4
Wat ,4,125.7,280.1
Evie ,5,271.0,384.3
"betreft, ",9,223.3,370.5
herinner ,9,190.9,284.6
je ,3,39.7,39.7
je ,3,125.1,169.2
Evie? ,6,245.2,263.0
Nee. ,5,205.6,205.6
"O, ",3,192.7,248.9
ze ,3,139.3,147.7
zal ,4,146.1,210.5
van ,4,147.8,284.9
na ,3,154.0,481.1
jouw ,5,141.1,174.7
tijd ,5,193.2,272.6
"zijn, ",6,62.4,62.4
denk ,5,177.8,204.6
ik. ,4,159.3,175.9
Ze ,3,50.6,50.6
is ,3,163.6,202.4
ma's ,5,249.2,404.2
"factotum, ",10,234.8,856.2
"gezelschapsdame, ",17,213.6,601.3
nou ,4,176.7,217.7
"ja, ",4,49.2,49.2
zo'n ,5,158.4,161.1
beetje ,7,171.8,233.2
een ,4,21.9,21.9
manusje ,8,223.5,314.1
van ,4,23.7,38.8
alles! ,7,209.4,226.6
Een ,4,71.8,71.8
